2e24571f-ac03-4bd1-b3b3-65f894cbe70c,Class Secretary,CLASS SECRETARY,
5c41fba3-ea27-4dbc-a01c-458fc313c63e,OrgTreasurer,ORGTREASURER,
6c884661-12e0-404a-86ef-c96be2a7f317,Org Treasurer,ORG TREASURER,
864ed261-7bec-436e-afaa-a5a956b80b28,Org Secretary,ORG SECRETARY,
8ce5d4c8-e65c-4e43-9b62-2502caba9a6d,Member,MEMBER,
9c28dfa7-9ebf-4665-81f7-3d5d4eec7548,Class Treasurer,CLASS TREASURER,
a4f8365f-d6f6-4abb-87d7-3c68cd68cc90,Admin,ADMIN,
b350a0e9-2938-475d-ab83-08ef45d1ac60,Officer,OFFICER,
bddbe2ca-47b4-4791-ae9a-86e2e204aa9f,OrgSecretary,ORGSECRETARY,
db82985d-964e-433c-989d-106ef92d43fc,ClassSecretary,CLASSSECRETARY,
e7a9a9a3-5a4b-4313-bfd5-7591da8c6b7a,ClassTreasurer,CLASSTREASURER,
